Album_Name	Song_Name	Lyrics	Unnamed: 6	Emotion
Music To Be Murdered By: Side B	Alfred (Intro)	intro alfred hitchcock thus far album provided musical accompaniment make passing pleasant next number designed drown sound shovels music buried                                                                                                                                                                                                                                                                                                                                                                                		neutral
Music To Be Murdered By: Side B	Black Magic	chorus skylar grey eminem black magic night walker yeah haunts like feel like nobody told dont know love pain oh know met black magic dark water like surrounds like like know better anyone shes got heart chains verse eminem volatile cant call though like large peg small hole yeah cheats catch like common cold sneeze last time broke collar bone shes intolerabl yeah know sex phnomenal though unlikely pair yeah like two different nike airs im size wears jordans think soulmates though yeah people dont like us t		neutral
Music To Be Murdered By: Side B	AlfredÂs Theme	verse check mic check check one two give extra swipe lysol disinfectant wipe good evening coronavirus effect tonight antiseptics deck got every type yeah throw tux yeah give zero fucks yeah act like jockstrap uh cup nuts yeah check ball hair make sure yeah call pallbearer yeah music b murdered stop overkill lik pipe bomb pine box youre hitched cock went punchin time clock getting shot treated like cyclops like one one eye got thoughts like nines cocked chkchk every lines obscene pervertedest mind got dirtie		neutral
Music To Be Murdered By: Side B	Tone Deaf	intro yeah im sorry huh say oh cant hear ear infucktion cunt finger yeah need autotune yeah verse alter egos fault evil thoughts could dark cerebral palsy three zolofts eat doze rico suave look cadillac ladder rack back cracked axel backpack full paxil black satchel knapsack flask full gnac jack daniels girl lets go backback castle yeah dont wan na hassle alexandra dicks acronym cause stands stands oh wait alexandra damn know friday met saturday ill probably forget guess thats molly ex fuck cause fuck layin		remorse
Music To Be Murdered By: Side B	Book of Rhymes	intro dont smile dont frown get get nah came went stuck around yeah still stop opinions like broken calculator shit doesnt count shut motherfuckin mouth chorus im emptyin im emptyin book rhymes book rhymes get em pad every thought said im emptyin im emptyin book rhymes book rhymes get em pad yeah every thought im eastside verse havent used tricks like balls im bag bag get littl teste im mad im mad sick wrstling ipad ipad unsuccessfully might add might add know best leave lie even get obsessed reading everyt		anger
Music To Be Murdered By: Side B	Favorite Bitch	intro sly pyper eminem nah real know im sayin like like musics first love right turned like know cats got like ho aint doin make music know mean yeah real yeah switched everybody done changed shit damn yeah everybody done ran mumble rappin aint substance shit right right dont treat way needs treated kinda want old thing back verse eminem yeah young hungry chasin bag twentyone lucky find unaten fucking honeybun forgot got money fallin fiftis hundreds twenties twenties know nothing funny bout manchester bombi		neutral
Music To Be Murdered By: Side B	Guns Blazing	intro sly pyper dr dre time face music stay execution distribution fuck doin chorus sly pyper dr dre im right back bullshit right back streets remember yeah got ta suffer consequences back bat swingin fences remember verse dr dre sly pyper lets make one thing clear dear resolute year pollution fresh air solution long hair fat ass im deadass mile high club til jt lag rothstein flow casino youre like gingr know single negro dont need double standards hypocrisy fake handholdin fathers day different motherfucke		annoyance
Music To Be Murdered By: Side B	Gnat	intro yeah yeah sick da got dope chorus say bars like covid bars like covid get em right bat get em right bat yeah infected sars corona infected sars corona like took bite took bite damn goes martian human martian human yeah thats virus attacks thats virus attacks come machine guns machine guns brr like trying fight gnat verse still stackin chips hoes higher shaq tiptoes atop empire state buildin shit like childs play childrn anninihilate kill ill fuck around pile ight million dead little juveniles wait chi		neutral
Music To Be Murdered By: Side B	Higher	intro eminem yeah know ive around sure much left prove yeah haha verse eminem look im thinkin damn proud nothin sneeze even allergies bad im balcony france look around see fans surround stands probably could drown sea hands theyre hollerin shady shady yelling thats mean say one day someway somehow get chance get crowd id flip around crowd give chants ive done man actuality havent yet chorus sly pyper eminem sly pyper supposed go woahohoh hey really idea know every time think hit ceiling yeah oh go higher iv		amusement
Music To Be Murdered By: Side B	These Demons	intro eminem yeah know loud pack haters funny man haha like youre gon na hate matter yet still click zombie track huh yeah verse eminem want change dont change yeah want grow dont age want rage dont get angry want new old shady want say wont say yeah dont go far go cray want almost lose man keep movin goalpost dont lets cut chase like oj bronco goin roadway skrrt get dick said balls yarn bitches would crochet haha ever wanteds rope chain day saw cool j soul train got kangol two cables haha one yellow white 		amusement
