Album_Name	Song_Name	Lyrics	Album_URL	Views	Release_date	Unnamed: 6
Music To Be Murdered By: Side B	Alfred (Intro)	intro alfred hitchcock thus far album provided musical accompaniment make passing pleasant next number designed drown sound shovels music buried                                                                                                                                                                                                                                                                                                                                                                                                                                                  	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	24.3K	December 18, 2020	
Music To Be Murdered By: Side B	Black Magic	chorus skylar grey eminem black magic night walker yeah haunts like feel like nobody told dont know love pain oh know met black magic dark water like surrounds like like know better anyone shes got heart chains verse eminem volatile cant call though like large peg small hole yeah cheats catch like common cold sneeze last time broke collar bone shes intolerabl yeah know sex phnomenal though unlikely pair yeah like two different nike airs im size wears jordans think soulmates though yeah people dont like us together like care yeah god strike dead yeah knows would walk hot coals feet bare yeah soon ask hit ask hit like grabs switch grabs switch turns knee cause ass whipped yeah got back im spineless yeah stabs mine yeah like cant feel knife pokes jabs slices one minute shell build next shell push round probably calls dumbbell lifts yeah puts huh thumbnail must spell like lookin right gun barrel none hoes fuck girl got chorus skylar grey black magic night walker haunts like nobody told love pain oh black magic dark water surrounds like shes got heart chains verse eminem wake break make like maybelline shes made like makebelieve probably shes fake fucks gon na take make see strip naked take keys plannin day weeks cant tell im wake sleep actually happenin sucker pain im stuck radioactive pattern motherfuckin hairs imagine draggin dragon lunges attacks scratches aint gon na stand shit like kaep national anthem stab im laughin much witchcraft magic abracadabra bitch turnin back im blackin say farewell love life cut slice give one last hug goodbye wipe blood butterfly knife watch fuckin die right front eyes hindsight think wanted see insides look like pop another five vics thats highs like look theres mud nikes shovel side blood mic wake music murdered like	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	180.6K	December 18, 2020	
Music To Be Murdered By: Side B	Alfreds Theme	verse check mic check check one two give extra swipe lysol disinfectant wipe good evening coronavirus effect tonight antiseptics deck got every type yeah throw tux yeah give zero fucks yeah act like jockstrap uh cup nuts yeah check ball hair make sure yeah call pallbearer yeah music b murdered stop overkill lik pipe bomb pine box youre hitched cock went punchin time clock getting shot treated like cyclops like one one eye got thoughts like nines cocked chkchk every lines obscene pervertedest mind got dirtiest rhyme stocked thats theres parental advising visine every time drop eye drop throw theme alfred ill channel like panama canal could get arms saying trash put bitch still get bag im putting garbage plus potty mouth im wash filthiest talk im washed preposterous cleanliness next godliness obvious impossible beside im bout capital like proper noun still top pile got sitting numbers like pocket dial quick call bullshit dont make give crock dial cause see later alligator made trailer made vow cater one hate ive gained amount thats bank account heres shit complain say bars never slack yeah always get attacked yeah think theyre gunnin startin feel like like im marked cause rap like fallin back tar pit cause target back ew yuck ever doublecrossed fans lost stans id probably pop five xans yeah go garage start van inhale much carbon monoxide exhaust doze like snores odds like thoughts haves like giant getting squashed ants test time id pass flying colors like tossed crayons tossed crayons small medium large size cans sanitizers types brands cost nine bands small price lysol wipes palms brush across pants wash hands interlude shit hold man motherfucker happy birthday fuck shh quiet verse sit silence candlelit environments sipping wild irish getting violent homicidal visions im spitting like really im fulfilling wish killing rhymes really childish silly im really like im giving nightmares billie eilish im diddys side bitch interlude fuck hold wait im diddys side bitch oh im still east side bitch verse til end since epmd givin yall business yeah dre yup mmlp mtbmb bitch bitch still aint seein haha call santa claus santa claus cause present yeah outrap em wrap em im mall got bitch bathroom stall could suck basketball uh plastic straw yeah fractured jaw damn dick coat check ha wan na jack yeah im far past bar practice law mentally im fucked generally general lee duh dukes hazzard car yeah get cadaver dogs cause murder murder youll get murked murked music bout kill brr brr brr chicken hit phone said chirp chirp said hut hut hike skirt skirt go eat worms like early bird fuck love thats dirty word make fall theres girl earth planet thats world hurt wont buy designer cause dont pander panda im back many knots need chiropractor damn final chapter cause im either frying oh gon give needle like vinyl scratcher dj yeah im card like hallmark walmart small cart buying wall art yall claim dogs arent bite like tree mostly bark arf arf yall pickin wrong tree call dog im barking bar king bark bark barking got lot yeah like cars park id describe bowling ball hard balls hard cause gutters mind frame better split like five ten cause without second spare im strikin beat alley go right pens pins cypher begins im talkin smack like heroin mics syringe like binge vicodin would liken tin mind recycling bin theres place never never budge never bend hyperextend games life depends like adult diapers men even im rappin less stellar sour grapes still whine im best seller cellar like trey deuce spray shots penetrate dres booth go straight grapefruit escape route wont leave scathed scrape wounds ass grass gon na graze bars semimacs id mad hatter cause got many caps dont straps nah youd fitted yeah dont act like fittin snap bitch ill pee p head like phillies hat haha stoppin youre window shopping spree bitch probably go broke dollar tree never buy shit ever cops plea youre always punkin like halloween rather opt flee need stop punk homie youre g act like got pump youre gon na cock heat get glock dump bitch shot tree wouldnt pop trunk yeah im buddies alfred disembowel gut em scalp em yeah bout bloodiest outcome cause gon make bleed every cut album im choppin em like dahmer nut job nuts bigger jabba hutt im cut im blood lookin like time month carvin em bars sharpen em dog mutt im gon na fuck mom butt thermometer fuckin phenomenal yallll get cut fuck like abdominals dont vámonos keep droppin like dominos formidable abominable stompin mudhole comp even top dome son em get coppertone im stop go coppin mop glo got stomach knots like swallowed rope pocket though like motherfuckin wallet stole outro wait whyd beat cut fuck	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	285.6K	December 18, 2020	
Music To Be Murdered By: Side B	Tone Deaf	intro yeah im sorry huh say oh cant hear ear infucktion cunt finger yeah need autotune yeah verse alter egos fault evil thoughts could dark cerebral palsy three zolofts eat doze rico suave look cadillac ladder rack back cracked axel backpack full paxil black satchel knapsack flask full gnac jack daniels girl lets go backback castle yeah dont wan na hassle alexandra dicks acronym cause stands stands oh wait alexandra damn know friday met saturday ill probably forget guess thats molly ex fuck cause fuck laying next huh evr since dnice tha rescu fila fresh crew uh lab rat yeah test tube uh im goin innn like red roof red roof inn dont like eat cock til jaw breaks yeah call caught rock hard place like sasquatch crawlspace cause youre watchin heart race like youre scarface car chase cops arcade stuck inside mario kart race duckin saw blades stop start pace im tryin say im drivin em crazy chorus cant understand word say im tonedeaf think way prefer stay im tonedeaf wont stop even hair turns grey im tonedeaf cause wont stop cancel yeah yeah verse see rap game attack verses uh turn graveyard packed hearses yeah like funeral im service pockets stuff like taxidermist woo landed los angeles chick angela grandmother tan colored van pull handful xans substantial amount gan ask plans plans night yeah said sneak sleep inn weekend pretend fivestar yeah leap deep end pool show dives get ha dont even got ta drive far know spot live im tryna get head first like nosedive haha many side chicks cant decide slide ditch comes ass bitch get behind like heimlich get behind yeah one chick liked flip sometimes switchin sides shit pushed sidekick flipped lil white bitch like light switch bitch okay like shit everythings fine drink wine bitch get offline quit whinin rhyme bitch rhyme bitch ask stick guns guns like adhesive tape adhesive tape bill cosby sedate treats cheesecake decent steak huh think gettin rid mes piece cake im harder findin harvey weinstein date damn thats say got lines black friday save sssshit damn library shh heard kris kristofferson yeah well piss pissedofferson oh pauls askin christmas said spit song goes chorus cant understand word say im tonedeaf think way prefer stay im tonedeaf wont stop even hair turns grey im tonedeaf cause wont stop cancel yeah yeah yeah verse bitch make orange rhyme banana yeah bornana eating pork rinds sword fightin pajamas crib playin fortnite grandma im like fourfive grammar bout show five favorite rappers cant touch get hammer warn im thorlike manner thor day lose sleep critiquin ever let cocksuckers eat id need motherfuckin pizzeria aint gettin cheese went little caesars bltses grilled cheeses bein dirt poor filthy rich im still bitch like realtor thats real tea realty bitch real talk aftermath bitch whole camps lit put fire dre stamps cohorts hit bogart yeah got whole squad yellin oh god comes barshall holds barred bitch im hurricane youre blowhard like old broad full semen sea men like coast guard lifes pretty good far yeah part couple runins popo caught couple assault charges got priors priers like crowbars priors odd cause im fortyeight startin creep like patrol car woo ill old fart dont want part bitch dont start dont start simmer compose mozart aint went nowhere call coleslaw cause im cabbage im raw time money clocks folk caught within close proximitys gettin coldcocked enemies im chimney give smoke opps rip king von dont stop know fuck say told yall aint alter egos fault yall wan na cancel prob ill tell thing told paul woo chorus cant understand word say im tonedeaf think way prefer stay im tonedeaf wont stop even hair turns grey im tonedeaf cause wont stop cancel im tonedeaf	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	210.9K	December 18, 2020	
Music To Be Murdered By: Side B	Book of Rhymes	intro dont smile dont frown get get nah came went stuck around yeah still stop opinions like broken calculator shit doesnt count shut motherfuckin mouth chorus im emptyin im emptyin book rhymes book rhymes get em pad every thought said im emptyin im emptyin book rhymes book rhymes get em pad yeah every thought im eastside verse havent used tricks like balls im bag bag get littl teste im mad im mad sick wrstling ipad ipad unsuccessfully might add might add know best leave lie even get obsessed reading everything let get best til snap til snap need get internet get internet need get mic get mic need get internet internet need get life waste time comment shit comment shit especially shit dont like shit dont like dont like dont listen dont tell bout favorite rapper rippin shit didnt write shit didnt write happened slim cap pen used rap like people music exactly like dude used poor cant tap cant use excuse anymore hes mad wind hes nuclear war cloud hes yellin talked mother told loved wan na hold hug wants nobody showed dougie get witness like notary public preach said kick fly shit fly shit said got wings ass wings ass told dicks cockpit dicks cockpit fly seat pants seat pants sinful thoughts beat crazy shits retarded instrus mental instrus mental minibars incidental charges start coldhearted heart since kindergarten mental sharpness makes slim walking dentist office bitch invented flossin yeah used wonder used wonder next meals gon na come meals gon na come wonder wonder next mills gon na come mills gon na come success success unless finally make finally make get remind haters remind haters shitted im way im way floor yall fools ceilings would step find twisted thats youll wind like spiral stairs swear stack bibles tear new behinds rivals even idols dont care music murdered bon iver swallow fuckin ja rule bobblehead die slow like alzheimers haha lone sniper hold microphone like loaded rifle domes brighter spit skulls fire thats missings motorcycle chrome wires spoke tires yall flow biters dont got ta explain call ghostwriter chorus im emptyin im emptyin book rhymes book rhymes get em pad every thought said im emptyin im emptyin book rhymes book rhymes get em pad every thought illa verse havent used tricks like balls bag tend get little testy im mad gift gab pen pad turn temper tantrums anthems put lips ass kiss cracks spit damnedest youre still gon na hit canvas rippin rappers veterans whippersnappers mr mathers killin shit villainous wit scant less syllables rip planet biblical shits finna hit fan anybody wan na go tit tats gon na get hit amygdala hippocampus gon na trigger ignoramus think ridiculous shit spit pit pitiful rappers insidious idiots wittiest shit shitty mc hammers get whole squad send task force want youre bout get asked put helmet strap chin youre bout get crash course start motherfuckin rap war go fuck would wan na offense retards slow dense fuckin penny sense yeah got ta get killed big deal every thought ill methodical thought swallowed pill im starting feel like im automobile barnacle bill inside car wheel inside carnival cause im plowin everyone wrote snidey articles explains fuck clowns grill joy pain fortune fame torture shame choice made swore someday world would pay less lose gain daughters raised yesterday glory days adored praised ignored hate addressed fake toured dre tore page jordan came destroyed game came enjoy stay gone away claim youre gon na point aim joined gang shit isnt going bang youre boring lame enormous chain stormless brain form rain shit pointless scoreless game bitch quit lyin youre denyin like mr porters name haha borderline bipolar disorder since stroller eyes rollin back skull like eli porter fire mortar brr rounds ayatollah every iota load owe motor mouth note self sometimes youre gon na bomb might blow ones help wrote book rhymes preemo take us outro writin book rhymes book rhymes book rhymes im im im im im im im eastside writin book rhymes book rhymes book rhymes im im im im im im im im im eastside	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	193.3K	December 18, 2020	
Music To Be Murdered By: Side B	Favorite Bitch	intro sly pyper eminem nah real know im sayin like like musics first love right turned like know cats got like ho aint doin make music know mean yeah real yeah switched everybody done changed shit damn yeah everybody done ran mumble rappin aint substance shit right right dont treat way needs treated kinda want old thing back verse eminem yeah young hungry chasin bag twentyone lucky find unaten fucking honeybun forgot got money fallin fiftis hundreds twenties twenties know nothing funny bout manchester bombing got something common us alarming foul disgusting awful yeah repugnant ugly yup could give boston marathon run money yeah could say im little bit immature type literature got little richer get insecure dudes hit girl youre letting em fiddle clitoris remember fucking chorus ty dolla ign used favorite bitch thingsll never aint funny changed flipped script done let bunch lames fall go plain cant permit aint like told id right back look need new chick like music bounce favorite bitch verse eminem eminem ty dolla ign always hated smile mama told goofy id get picked school come home shed school never sugarcoated said wasnt stupid ugly wouldnt always get bullied true think struggles yeah get emotional could cause behind eightball far hole put im roll like tootsie yeah im trollin pussies im like stroller cause youll see roll push thats music goin hardest times drew shes like devil cause cant let loose lucifer cause thought losin makes wan na let loose hit studio tryna rendezvous tell buttdial girl yeah booty call haha thats used cause ruled world made curtis blow kurtis blow fuck miss days chorus ty dolla ign used favorite bitch thingsll never aint funny changed flipped script done let bunch lames fall go plain cant permit aint like told id right back look need new chick like music bounce favorite bitch interlude eminem fuckin leavin bitch dont think sit motherfuckin ass swear god run door ima put one back fuckin head ima ask one time answer better yes verse eminem ty dolla ign would marry everything changed yeah itll never nah era whence came nas pac ra yeah eric b kane know know era lyrically insane although never gon na hit level cole weezy emotionally attached yo mtv raps yeah runnin home school catch episode feeling gave rip plastic tape youre holdin peel back yeah tear play swear god four oclock wed crowd around tv butter underwear socks naunie kon artis yeah proof hair locs doody yeah back flavor flav us wearin clocks back back ed lover yeah two dr dres thats paradox pair docs never thought id get jealous thought letting go psychologically gon na bother eyes already watery part dont wan na stop yeah til get back got ta put work tell im never givin part wants tell get fucked go back whatever dick sucked ah get back together slut givin vagina like trip gynecologist helped become bigger guess slipped mind must biding time looking someone come along thatll make feel like back mine huh damn truthfully never really exclusively theres many new mcs choose matter many motherfuckers ran cant like cant keep burnin candle ends cant handle leave find another one got ta take beat dismantle wont grieve kill cant bitch nobody cant believe used favorite bitch	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	122.1K	December 18, 2020	
Music To Be Murdered By: Side B	Guns Blazing	intro sly pyper dr dre time face music stay execution distribution fuck doin chorus sly pyper dr dre im right back bullshit right back streets remember yeah got ta suffer consequences back bat swingin fences remember verse dr dre sly pyper lets make one thing clear dear resolute year pollution fresh air solution long hair fat ass im deadass mile high club til jt lag rothstein flow casino youre like gingr know single negro dont need double standards hypocrisy fake handholdin fathers day different motherfucker youre sleepin enemy mockery like im john f kennedy shots yes im president debauchery none bullshit ever got cause pillow brillo ditto breakin shit little little aint got time fuckin pompoms shoulda never let dog kennel refrain sly pyper dr dre wastin time debatin bout im im around dont forget fuckin wit steppin hallowed ground chorus sly pyper eminem cause yeah im right back bullshit right back streets remember yeah got ta suffer consequences sorry isnt gon na help nah verse eminem sly pyper many times got burnt tried act like im hurt take back work like clockwork shit agony youre draggin glocks burst remember drawed first aint toe taggin hobag blowback deserve get bozack bitch yeah souls blackening actually couldve lot worse couldve namedropped verse yeah respect daughter wont blow spot cause toddler deserve get caught dirt damn good luck father bitch youre stuck hafuckinha word doctor wounds nurse hope drivin bonkers im oh woo guess mustve got wise sly cause make onthespot lie im comin guns blazin shots fired hand sani im cutting tize ties bitch everything owns box bye guess back trailer pot pies hope pull window popeyes one day youll servin hot fries cause taste medicine shedded skin yeah reptilian bitch knees yeah beggin forgiveness yeah look marry bitch aint ems bitch youre regular hims bitch never together ever youre bed wish remember chorus sly pyper eminem yeah im right back bullshit right back streets look remember yeah got ta suffer consequences sorry isnt gon na help remember michelle yeah im right back bullshit right back streets fuck around make famous remember yeah got ta suffer consequences oh im hittin someone else youre refrain sly pyper dr dre wastin time debatin bout im im around dont forget fuckin wit steppin hallowed ground	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	136.2K	December 18, 2020	
Music To Be Murdered By: Side B	Gnat	intro yeah yeah sick da got dope chorus say bars like covid bars like covid get em right bat get em right bat yeah infected sars corona infected sars corona like took bite took bite damn goes martian human martian human yeah thats virus attacks thats virus attacks come machine guns machine guns brr like trying fight gnat verse still stackin chips hoes higher shaq tiptoes atop empire state buildin shit like childs play childrn anninihilate kill ill fuck around pile ight million dead little juveniles wait chill ill await trial date til aint nothin say could ever trump nah mic pencil get killed yeah youre hypersensitive wasnt referencin vice president chill chill mean penmanship times tends get ill violence skill thats hence write ends mic pencil gettin killed haha yeah hold im still ride die squad yeah know side im battle lines ever drawn get involved itll like ks brawl similar mike vick cause even dont dog fight aint never gon na get rid fight dog fight dog got stripes like tiger might get mauled mic palms like claws swing right jaw rip one swipe paw bitch still dick nah nah suck wife straw straw im sick im gon na cover mouth next time cough cause chorus say bars like covid bars like covid get em right bat get em right bat yeah infected sars corona infected sars corona like took bite took bite damn goes martian human martian human yeah thats virus attacks thats virus attacks come machine guns machine guns brr like trying fight gnat like trying fight gnat yeah yeah verse da got dope sends uhhuh like pneumonia symptoms contracting covid instantly separates flow one gets even close pose risk vocalistically thats social distancing yeah flow going viral best stay strapped lysol get way back shh get pinesol ajax cause dry cough like football umpires callin playback bitch back fuck like fifteen yards rhymes call face mask face mask nother fourteenday quarantine theyre cordoning everything shit lookin like horror scene like metaphorically damn cause stayathome orders seem like keep getting extreme knows nightmare end marilyn like monroe norma jean norma jean still got heroin lyrical drip morphine thorazine cause im fuckin dope dope youre fiend thats one thing hasnt changed nope semblance normalcy might need hydrochloroquine cause got yeah dark horse im knightmare mom fed valium like air mmm thought thats called high chair woah got contact like eyewear woah wait minute bitch let lie uh hindsight side mirror every year drop ball like times square hair trigger whenever get ideas like fuck name rings like sponge mop drip drop bucket gun shot heard one spot came nine mil got thats big bucks got full money clip im loaded aint even mean go fuck im still totally inappropriate opiate groping im holding like trophy im hoping little codeinell get odin woah everything slow begin floating know im getting loaded pen exploded hiroshima flows utopia dope im og im like goat get goat little bit sodium assault salt im podium throat holy camoly im zone shit im get imodium commode nobodys even close youre petroleum plutonium youre phony im crib ho got pole like voting clothing stripped toe ring go gloating ive got nose air like boeing got little bit argument took little lick klonopin dinner hit motherfucking ottoman bit shot liver delivered bottom river dope im probably gon jump water wad money cause got lot come drippin soppin like hundred mile hour never runnin either one em got ta get cause chorus say bars like covid bars like covid get em right bat get em right bat yeah infected sars corona infected sars corona like took bite took bite damn goes martian human martian human yeah thats virus attacks thats virus attacks come machine guns machine guns brr like trying fight gnat fight gnat	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	703.4K	December 18, 2020	
Music To Be Murdered By: Side B	Higher	intro eminem yeah know ive around sure much left prove yeah haha verse eminem look im thinkin damn proud nothin sneeze even allergies bad im balcony france look around see fans surround stands probably could drown sea hands theyre hollerin shady shady yelling thats mean say one day someway somehow get chance get crowd id flip around crowd give chants ive done man actuality havent yet chorus sly pyper eminem sly pyper supposed go woahohoh hey really idea know every time think hit ceiling yeah oh go higher ive ever fuckin question supposed go woahohoh hey really idea know know every time think hit ceiling yeah oh go higher ive ever fuckin verse eminem got time haters bitch toleration shit like medication dedication time takes shit reminds overcrowded hospital waiting roomll get mean maybe patience patients im able admit yeah im still mentally stable threelegged table bitch fame switch grateful trade shit trailer hitch would make raving lunatic made situation hit pay dirt get paper like stapler bitch cause made little bit change dont mean ive changed little bit brain full wit dangerous cant extinguish english language lit im berating shady til im eightytwo ill spit crazy even dre knows nose ima blow better get handkerchief haha chorus sly pyper eminem supposed go woahohoh hey really idea know every time think hit ceiling yeah oh go higher ive ever fuckin know talk shit lot question supposed go woahohoh hey really idea know know every time think hit ceiling yeah oh go higher ive ever fuckin bridge sly pyper eminem oh gon na cant nothing hold im loose born winner damn hard lose even im tryin record flops still go roof atmospheres chosen grind makin money moves aint gon get watereddown got ta take shots hundred proof check verse eminem survival mode since five year old alone since trike stole spiral notebook microphone lookin back bad hadnt pad pen addict mom deadbeat dad wouldnt savage within havin win every single battle im ever wanted emcee tediously wrote obediently believing epmd mustve teachin degrees learned defeat enemies ink thinkin rhymes would eazy e graffiti would like remedial readin yeah til last breath leaves lungs ima beat drum yeah streets im yeah east side slums yeah got ta remind em yeah ill take foe yeah like feefifum see finger see thumb see fist fuck peace pipe im smoke weed want beat brung beef ive come woo better bring wan na reply cause lyrically inclined itd steep climb thatll uphill battle im like feet recliner think im go limb like tree climber time push ceiling higher cause chorus sly pyper eminem supposed go woahohoh hey really idea know every time think hit ceiling yeah oh go higher ive ever fuckin last time question supposed go woahohoh hey really idea know know every time think hit ceiling yeah oh go higher ive ever fuckin damn	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	115.1K	December 18, 2020	
Music To Be Murdered By: Side B	These Demons	intro eminem yeah know loud pack haters funny man haha like youre gon na hate matter yet still click zombie track huh yeah verse eminem want change dont change yeah want grow dont age want rage dont get angry want new old shady want say wont say yeah dont go far go cray want almost lose man keep movin goalpost dont lets cut chase like oj bronco goin roadway skrrt get dick said balls yarn bitches would crochet haha ever wanteds rope chain day saw cool j soul train got kangol two cables haha one yellow white gold plated let em know made chorus maj eminem told dawgs gon get right year yeah yeah yeah cost get gone lear woo yeah yeah still demons comin neck yeah yeah aint never comin yeah yeah yo verse eminem pandemic got us recession need reopen america black people dyin want equal rights white people wan na get haircuts haha people protest people riot aint never escapin virus nah til cops racially biased longer enable liars get em tape stick story like spiderman crawlin upside wall yeah unabiding lawmen yeah like garrett rolfe like derek chauvin yup cap still riding colin yup though people dont like yeah like summer like bees flowers cause people find appalling pollen haha ooh say line people outraged oh press slams yeah people aint nowadays give album put like griped praise wake every day even caked makeup clown face laid foundation chorus maj eminem told dawgs gon get right year yeah yeah cost get gone lear yeah yeah still demons comin neck yeah yeah aint never comin yeah yeah yeah verse eminem got question rhymes pariah dont know mm tsk uh lego oh shit bit lit end wick shit meant shit end stick im addicted friction mischief like bitchs midriff shit gets dick stiff stick shift dick cheney drip saline bring name get ratings like trying choose bizzy layzie wish krayzie cause got bone pick slim shady slim shady thug thug harm harmony attempt diss hailie hailie bitch go like raining get canceled like day yeah would go fun stay ah get leave theres fuckin way got better chance fuckin young ooh ooh sounds like im zoning sayin im nice know like askin shin right bologna knee haha uh oh play hide salami yeah gald like blow yup wave like tsunami yup flows youre still tryna wrap head around like youre swami ha call mic kamikaze mike zombie ima keep bombing woo cause game mine like ied yeah ever cancel like live pd said im takin im leaving brr time murder side b b might fuckin izz rappin circles around hoes like girdles every word mouths fire burnt ground theres fuckin circus town yeah bitch verse finna clown icp r kelly sex tape see pee look shit intense tents like tipis gettin wiped like tp dont like bite little white weewee repeat bite little white weewee long live ever since preteens striped lee jeans grandma nans little black white tv yeah im bougie stick pinkie every time drink tea used wan na wife sweet tee sweet tee used rock wife beaters let wife beat yeah eat shit might shit say eat shit mean	https://genius.com/albums/Eminem/Music-to-be-murdered-by-side-b	142.5K	December 18, 2020	
